product_id,competitor_id,repricer_id,sku,our_mpn,our_status,our_gtin,our_brand,our_category,brand_label,osb_url,90 days Sales,system_status,existing_competitor_url,existing_reason,approval_status,reviewed_by_user,sku_mismatch,existing_state,best_candidate_url,best_candidate_name,best_candidate_ref_sku,best_candidate_score,best_candidate_confidence,best_candidate_signal,best_candidate_name_similarity,best_candidate_remark,best_candidate_reasons,top_candidates,decision,decision_reason
265686,370,33804245,Monte-Dark-Grey/Walnut 5PC Dining Set,Monte-Dark-Grey/Walnut 5PC Dining Set,1,8.47E+11,Baxton Studio,Dining Sets,Baxton Studio,https://www.1stopbedrooms.com/monte-mid-century-modern-walnut-wood-round-5-piece-dining-set,,1,https://emmamason.com/baxton-studio-monte-5pc-dining-room-set-in-walnut.html?phash=519af0&vfsku=190707,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,https://emmamason.com/baxton-studio-kimberly-5-piece-round-dining-set-in-brown-walnut-kimberly-brown-walnut-5pc-dining-set.html#NONE:140 | https://emmamason.com/baxton-studio-cody-upholstered-5-piece-dining-set-in-light-grey-walnut-brown-cody-light-grey-5pc-dining-set.html#NONE:140 | https://emmamason.com/baxton-studio-embrace-5-piece-dining-set-in-dark-grey-embrace-5pc-dining-set.html#NONE:120 | https://emmamason.com/lexington-furniture-avondale-bloomfield-5pc-round-dining-room-set-in-white.html#NONE:-120 | https://emmamason.com/lexington-furniture-avondale-lombard-5pc-round-dining-room-set-in-white.html#NONE:-120,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
276841,370,44279693,MOD-R-1003A-810,R-1003A-810,1,8.90E+11,Modway,Rugs,Modway,https://www.1stopbedrooms.com/marja-navy-and-ivory-moroccan-trellis-8-10-area-rug-r-1003a-810,,1,https://emmamason.com/modway-marja-moroccan-trellis-8x10-area-rug-in-ivory-and-charcoal-r-1003d-810.html?phash=d5ad63&vfsku=445716,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
276916,370,44288161,MOD-R-1091B-46,R-1091B-46,1,8.90E+11,Modway,Rugs,Modway,https://www.1stopbedrooms.com/minu-yellow-and-orange-distressed-floral-lattice-4-6-area-rug-r-1091b-46,,1,https://emmamason.com/modway-minu-distressed-floral-lattice-5x8-area-rug-in-dark-blue-yellow-and-orange-r-1091d-58.html?phash=54ba9d&vfsku=445848,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
460795,370,43836150,ACM-10039A,10039A,1,8.40E+11,ACME,Dining Chairs,ACME,https://www.1stopbedrooms.com/acme-chateau-de-ville-arm-chair-set-of-2-10039a,,1,https://emmamason.com/acme-chateau-de-ville-arm-chair-w-black-pu-set-of-2-10039-179298.html?phash=46c5a9&vfsku=179298,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
544377,370,38262331,ASL-B974-58,B974-58,1,24052852684,Signature Design by Ashley,Bed Frames & Headboards,Signature Design by Ashley,https://www.1stopbedrooms.com/cabalynn-light-brown-king-cal-king-panel-headboard-only,,1,"https://emmamason.com/burkhaus-4-piece-upholstered-panel-bedroom-set-in-brown-1.html?name=Cabalynn+King+Panel+Bed+with+Storage+in+Light+Brown+B974B8+with+Dresser,+Bedroom+Mirror+B974-36+FedEx/UPS,+Nightstand+B974-92&phash=a31ce9&selection=100025-230234-1&selection=100026-230236-1&selection=100027-230237-1&selection=100028-230238-1",Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
667885,370,35869160,MAN-ET005-OR,ET005-OR,1,8.10E+11,Manhattan Comfort,End & Side Tables,Manhattan Comfort,https://www.1stopbedrooms.com/anderson-ceramic-faux-marble-tabletop-end-table-in-orange,,1,https://emmamason.com/manhattan-comfort-modern-anderson-coffee-table-and-end-table-2-0-upholstered-in-green-leatherette-with-ceramic-faux-tabletop-set-of-2-2-at01-gr.html?phash=8bfdab&vfsku=360505,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,https://emmamason.com/manhattan-comfort-modern-anderson-end-table-2-0-upholstered-in-orange-leatherette-with-ceramic-faux-marble-tabletop-et005-or.html,Manhattan Comfort Modern Anderson End Table 2.0 Upholstered in Orange Leatherette with Ceramic Faux Marble Tabletop ET005-OR,EM-MAN-ET005-OR,1030,HIGH,MPN_PARTIAL,47.4,,MPN partial match on MPN; MPN partial (prefix/suffix); Full name tokens in URL; Partial OSB URL tokens in URL; Brand exact; Name similarity 47.4% (medium),https://emmamason.com/manhattan-comfort-modern-anderson-end-table-2-0-upholstered-in-orange-leatherette-with-ceramic-faux-marble-tabletop-et005-or.html#MPN_PARTIAL:1030 | https://emmamason.com/manhattan-comfort-modern-ella-nightstand-with-1-full-extension-drawer-in-terracotta-ns005-or.html#NONE:120,MANUAL_REVIEW,CM marked wrong match; skip auto update
695660,370,38513863,GFU-MONACO-BS-GRY/WHT-N,MONACO-BS-GRY/WHT-N,1,8.87E+11,Global Furniture USA,Bar Stools & Counter Stools,Global Furniture USA,https://www.1stopbedrooms.com/monaco-bar-stool-in-gray-and-white,,1,https://emmamason.com/global-furniture-monaco-bar-stool-set-of-2-in-light-grey-monaco-03-bs-gry-wht.html?vfsku=259593,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
706043,370,36761925,JOF-2330-NOBU,2330-NOBU,1,8.40E+11,Jofran,End & Side Tables,Jofran,https://www.1stopbedrooms.com/nobu-beveled-angle-accent-end-c-table-in-walnut,,1,https://emmamason.com/jofran-soho-accent-table-in-oak-brown-2330-sohooak.html?phash=010bcf&vfsku=372597,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,https://emmamason.com/jofran-nolan-marble-bunching-tables-in-chestnut-2330-nolanchs.html#NONE:120 | https://emmamason.com/jofran-nolan-marble-bunching-tables-in-natural-2330-nolannat.html#NONE:120,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
706045,370,36742482,JOF-2330-SOHOOAK,2330-SOHOOAK,1,8.40E+11,Jofran,End & Side Tables,Jofran,https://www.1stopbedrooms.com/nobu-beveled-angle-accent-end-c-table-in-oak-brown,,1,https://emmamason.com/jofran-stella-c-table-in-burnished-copper-1730-90bc.html?phash=aa7dae&vfsku=372321,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
771332,370,45566995,MCA-71155,71155,1,6.96E+11,Mercana,Decorative Accessories,Mercana,https://www.1stopbedrooms.com/odilia-large-geometric-pillar-candle-holder-in-antiqued-gold,,1,https://emmamason.com/mercana-odilia-large-smooth-matte-black-metal-geometric-pillar-candle-holder-71153.html?phash=7f53b9&vfsku=470746,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
